run_id,question_id,split_name,subject,method_name,prompt_version,perturbation_name,sample_index,provider,model_name,temperature,max_tokens,seed,question_text,choice_a,choice_b,choice_c,choice_d,correct_option,prompt,model_status,raw_text,finish_reason,latency_seconds,timestamp_utc,error_type,error_message,error_stage,error_retryable,parsed_choice,parse_status,normalized_text,parse_reason,is_correct,score_status,text_match_score,benchmark,free_text_response
20260603_154649,e3335d974df9d047,robustness,arc_challenge,text_extraction,v1,,0.0,openai,gpt-4.1-mini,0.0,500.0,42.0,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?",the control,the hypothesis statement,the dependent (responding) variable,the independent (manipulated) variable,D,"Answer the following question. Read all options carefully.

Question: A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?

Options:
A. the control
B. the hypothesis statement
C. the dependent (responding) variable
D. the independent (manipulated) variable

Respond with the correct answer text only. Do not write the option letter. Do not explain.
",success,the independent (manipulated) variable,,1.15381428,,,,,,D,parse_ok,the independent manipulated variable,Text matched to option D (cosine=1.000),True,score_correct,1.0,arc_challenge,
20260603_154649,a81ac5013f717b61,robustness,arc_challenge,text_extraction,v1,,1.0,openai,gpt-4.1-mini,0.0,500.0,42.0,An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?,They have each lost kinetic energy.,They have each gained the same amount of potential energy.,They have each lost the same amount of potential energy.,They have each gained one-half of their maximum kinetic energy.,D,"Answer the following question. Read all options carefully.

Question: An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?

Options:
A. They have each lost kinetic energy.
B. They have each gained the same amount of potential energy.
C. They have each lost the same amount of potential energy.
D. They have each gained one-half of their maximum kinetic energy.

Respond with the correct answer text only. Do not write the option letter. Do not explain.
",success,They have each lost the same amount of potential energy.,,2.929708545,,,,,,C,parse_ok,they have each lost the same amount of potential energy,Text matched to option C (cosine=1.000),False,score_incorrect,1.0,arc_challenge,
20260603_154649,6b4ca904770412f7,robustness,arc_challenge,text_extraction,v1,,2.0,openai,gpt-4.1-mini,0.0,500.0,42.0,Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?,"a non-infectious, cell-cycle disease","an infectious, cell-cycle disease","a non-infectious, chronic disease","an infectious, chronic disease",B,"Answer the following question. Read all options carefully.

Question: Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?

Options:
A. a non-infectious, cell-cycle disease
B. an infectious, cell-cycle disease
C. a non-infectious, chronic disease
D. an infectious, chronic disease

Respond with the correct answer text only. Do not write the option letter. Do not explain.
",success,"an infectious, cell-cycle disease",,2.723892571,,,,,,B,parse_ok,an infectious cellcycle disease,Text matched to option B (cosine=1.000),True,score_correct,1.0,arc_challenge,
20260603_154649,4bd587d3c8648563,robustness,arc_challenge,text_extraction,v1,,3.0,openai,gpt-4.1-mini,0.0,500.0,42.0,"A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?",to repare for migration before winter,to provide warmth during the cold winter months,to store food that will be eaten over the winter months,to protect the grasses and seeds from decay before winter,C,"Answer the following question. Read all options carefully.

Question: A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?

Options:
A. to repare for migration before winter
B. to provide warmth during the cold winter months
C. to store food that will be eaten over the winter months
D. to protect the grasses and seeds from decay before winter

Respond with the correct answer text only. Do not write the option letter. Do not explain.
",success,to store food that will be eaten over the winter months,,1.259615895,,,,,,C,parse_ok,to store food that will be eaten over the winter months,Text matched to option C (cosine=1.000),True,score_correct,1.0,arc_challenge,
20260603_154649,ae7f0cfeefe61d0e,robustness,arc_challenge,text_extraction,v1,,4.0,openai,gpt-4.1-mini,0.0,500.0,42.0,Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?,The chicken population would go down.,Populations of mice and rats would increase.,Another bird of prey would replace the hawk.,The chickens would have a lower rate of disease.,B,"Answer the following question. Read all options carefully.

Question: Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?

Options:
A. The chicken population would go down.
B. Populations of mice and rats would increase.
C. Another bird of prey would replace the hawk.
D. The chickens would have a lower rate of disease.

Respond with the correct answer text only. Do not write the option letter. Do not explain.
",success,Populations of mice and rats would increase.,,1.088974208,,,,,,B,parse_ok,populations of mice and rats would increase,Text matched to option B (cosine=1.000),True,score_correct,1.0,arc_challenge,
20260603_154649,4c67f20f428bda79,robustness,arc_challenge,text_extraction,v1,,5.0,openai,gpt-4.1-mini,0.0,500.0,42.0,"According to cell classification, prokaryotic cells are separated from eukaryotic cells. Which feature is often used to distinguish prokaryotic cells from eukaryotic cells?",life processes,size differences,plasma membranes,energy molecules,B,"Answer the following question. Read all options carefully.

Question: According to cell classification, prokaryotic cells are separated from eukaryotic cells. Which feature is often used to distinguish prokaryotic cells from eukaryotic cells?

Options:
A. life processes
B. size differences
C. plasma membranes
D. energy molecules

Respond with the correct answer text only. Do not write the option letter. Do not explain.
",success,size differences,,0.773706227,,,,,,B,parse_ok,size differences,Text matched to option B (cosine=1.000),True,score_correct,1.0,arc_challenge,
20260603_154649,b8fed5c07c11e65d,robustness,arc_challenge,text_extraction,v1,,6.0,openai,gpt-4.1-mini,0.0,500.0,42.0,Which statement best describes the effect of the Sun on the oceans?,The Sun influences the formation of waves.,The Sun creates water particles.,The Sun's rays cause organisms to come to the surface.,The Sun provides minerals.,A,"Answer the following question. Read all options carefully.

Question: Which statement best describes the effect of the Sun on the oceans?

Options:
A. The Sun influences the formation of waves.
B. The Sun creates water particles.
C. The Sun's rays cause organisms to come to the surface.
D. The Sun provides minerals.

Respond with the correct answer text only. Do not write the option letter. Do not explain.
",success,The Sun influences the formation of waves.,,0.823570374,,,,,,A,parse_ok,the sun influences the formation of waves,Text matched to option A (cosine=1.000),True,score_correct,1.0,arc_challenge,
20260603_154649,17b37c81c99bec39,robustness,arc_challenge,text_extraction,v1,,7.0,openai,gpt-4.1-mini,0.0,500.0,42.0,"The morning temperature in a city is 41°F. If a sunny, mild day is forecast, which temperature is most likely for 2:00 p.m.?",32° F,41° F,78° F,98° F,C,"Answer the following question. Read all options carefully.

Question: The morning temperature in a city is 41°F. If a sunny, mild day is forecast, which temperature is most likely for 2:00 p.m.?

Options:
A. 32° F
B. 41° F
C. 78° F
D. 98° F

Respond with the correct answer text only. Do not write the option letter. Do not explain.
",success,78° F,,0.804612947,,,,,,C,parse_ok,78° f,Text matched to option C (cosine=1.000),True,score_correct,1.0,arc_challenge,
20260603_154649,77b521976782776c,robustness,arc_challenge,text_extraction,v1,,8.0,openai,gpt-4.1-mini,0.0,500.0,42.0,A class plans an investigation to see which brand of light bulb lasts the longest. Which of these steps should come first?,Repeat the investigation.,Write a report of the results.,Make a table for recording data.,Make daily observations of the light bulbs.,C,"Answer the following question. Read all options carefully.

Question: A class plans an investigation to see which brand of light bulb lasts the longest. Which of these steps should come first?

Options:
A. Repeat the investigation.
B. Write a report of the results.
C. Make a table for recording data.
D. Make daily observations of the light bulbs.

Respond with the correct answer text only. Do not write the option letter. Do not explain.
",success,Make a table for recording data.,,1.57389852,,,,,,C,parse_ok,make a table for recording data,Text matched to option C (cosine=1.000),True,score_correct,1.0,arc_challenge,
20260603_154649,bc481791821bb705,robustness,arc_challenge,text_extraction,v1,,9.0,openai,gpt-4.1-mini,0.0,500.0,42.0,Which of these gases is the most abundant greenhouse gas in the lower atmosphere of Earth?,ozone,methane,water vapor,carbon dioxide,C,"Answer the following question. Read all options carefully.

Question: Which of these gases is the most abundant greenhouse gas in the lower atmosphere of Earth?

Options:
A. ozone
B. methane
C. water vapor
D. carbon dioxide

Respond with the correct answer text only. Do not write the option letter. Do not explain.
",success,water vapor,,1.028640291,,,,,,C,parse_ok,water vapor,Text matched to option C (cosine=1.000),True,score_correct,1.0,arc_challenge,
