schema_version,run_id,cell_id,question_id,benchmark,split_name,subject,model_name,provider,n_options,permutation_index,n_permutations,canonical_options_json,displayed_options_json,displayed_to_semantic_json,correct_option,prompt,prompt_sha256,temperature,max_tokens,seed,prompt_version,raw_text,finish_reason,displayed_parsed_choice,semantic_parsed_choice,parse_status,parse_reason,normalized_text,is_correct,score_status,transport_status,error_type,error_message,error_stage,error_retryable,latency_seconds,timestamp_utc,cache_hit,majority_semantic_choice,majority_is_tie,majority_tie_break_used,majority_is_correct,is_diagnostic_canary
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__arc_challenge__twostage_semantic_match_traced_v1,e3335d974df9d047,arc_challenge,robustness,arc_challenge,gpt-4.1-mini,openai,4,0,4,"{""A"": ""the control"", ""B"": ""the hypothesis statement"", ""C"": ""the dependent (responding) variable"", ""D"": ""the independent (manipulated) variable""}","{""A"": ""the control"", ""B"": ""the hypothesis statement"", ""C"": ""the dependent (responding) variable"", ""D"": ""the independent (manipulated) variable""}","{""A"": ""A"", ""B"": ""B"", ""C"": ""C"", ""D"": ""D""}",D,"[local_semantic_match] free_text=""The physicist is investigating the effect of speed on the car's ability to jump over the ramp."" vs options={'A': 'the control', 'B': 'the hypothesis statement', 'C': 'the dependent (responding) variable', 'D': 'the independent (manipulated) variable'}",,,,,semantic_match_v1,The physicist is investigating the effect of speed on the car's ability to jump over the ramp.,,,,parse_missing,cosine_similarity=0.1968,,False,score_incorrect,success,,,,,7.808222132999617,2026-07-22T18:26:52.695480+00:00,,,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__arc_challenge__twostage_semantic_match_traced_v1,e3335d974df9d047,arc_challenge,robustness,arc_challenge,gpt-4.1-mini,openai,4,1,4,"{""A"": ""the control"", ""B"": ""the hypothesis statement"", ""C"": ""the dependent (responding) variable"", ""D"": ""the independent (manipulated) variable""}","{""A"": ""the hypothesis statement"", ""B"": ""the dependent (responding) variable"", ""C"": ""the independent (manipulated) variable"", ""D"": ""the control""}","{""A"": ""B"", ""B"": ""C"", ""C"": ""D"", ""D"": ""A""}",D,"[local_semantic_match] free_text=""The physicist is investigating the effect of speed on the car's ability to jump over the ramp."" vs options={'A': 'the hypothesis statement', 'B': 'the dependent (responding) variable', 'C': 'the independent (manipulated) variable', 'D': 'the control'}",,,,,semantic_match_v1,The physicist is investigating the effect of speed on the car's ability to jump over the ramp.,,,,parse_missing,cosine_similarity=0.1968,,False,score_incorrect,success,,,,,0.013778769000055036,2026-07-22T18:26:52.697896+00:00,,,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__arc_challenge__twostage_semantic_match_traced_v1,e3335d974df9d047,arc_challenge,robustness,arc_challenge,gpt-4.1-mini,openai,4,2,4,"{""A"": ""the control"", ""B"": ""the hypothesis statement"", ""C"": ""the dependent (responding) variable"", ""D"": ""the independent (manipulated) variable""}","{""A"": ""the dependent (responding) variable"", ""B"": ""the independent (manipulated) variable"", ""C"": ""the control"", ""D"": ""the hypothesis statement""}","{""A"": ""C"", ""B"": ""D"", ""C"": ""A"", ""D"": ""B""}",D,"[local_semantic_match] free_text=""The physicist is investigating the effect of speed on the car's ability to jump over the ramp."" vs options={'A': 'the dependent (responding) variable', 'B': 'the independent (manipulated) variable', 'C': 'the control', 'D': 'the hypothesis statement'}",,,,,semantic_match_v1,The physicist is investigating the effect of speed on the car's ability to jump over the ramp.,,,,parse_missing,cosine_similarity=0.1968,,False,score_incorrect,success,,,,,0.013471933999426255,2026-07-22T18:26:52.697969+00:00,,,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__arc_challenge__twostage_semantic_match_traced_v1,e3335d974df9d047,arc_challenge,robustness,arc_challenge,gpt-4.1-mini,openai,4,3,4,"{""A"": ""the control"", ""B"": ""the hypothesis statement"", ""C"": ""the dependent (responding) variable"", ""D"": ""the independent (manipulated) variable""}","{""A"": ""the independent (manipulated) variable"", ""B"": ""the control"", ""C"": ""the hypothesis statement"", ""D"": ""the dependent (responding) variable""}","{""A"": ""D"", ""B"": ""A"", ""C"": ""B"", ""D"": ""C""}",D,"[local_semantic_match] free_text=""The physicist is investigating the effect of speed on the car's ability to jump over the ramp."" vs options={'A': 'the independent (manipulated) variable', 'B': 'the control', 'C': 'the hypothesis statement', 'D': 'the dependent (responding) variable'}",,,,,semantic_match_v1,The physicist is investigating the effect of speed on the car's ability to jump over the ramp.,,,,parse_missing,cosine_similarity=0.1968,,False,score_incorrect,success,,,,,0.013167021000299428,2026-07-22T18:26:52.698012+00:00,,,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__arc_challenge__twostage_semantic_match_traced_v1,a81ac5013f717b61,arc_challenge,robustness,arc_challenge,gpt-4.1-mini,openai,4,0,4,"{""A"": ""They have each lost kinetic energy."", ""B"": ""They have each gained the same amount of potential energy."", ""C"": ""They have each lost the same amount of potential energy."", ""D"": ""They have each gained one-half of their maximum kinetic energy.""}","{""A"": ""They have each lost kinetic energy."", ""B"": ""They have each gained the same amount of potential energy."", ""C"": ""They have each lost the same amount of potential energy."", ""D"": ""They have each gained one-half of their maximum kinetic energy.""}","{""A"": ""A"", ""B"": ""B"", ""C"": ""C"", ""D"": ""D""}",D,"[local_semantic_match] free_text='Both objects have the same speed after falling 1.0 m.' vs options={'A': 'They have each lost kinetic energy.', 'B': 'They have each gained the same amount of potential energy.', 'C': 'They have each lost the same amount of potential energy.', 'D': 'They have each gained one-half of their maximum kinetic energy.'}",,,,,semantic_match_v1,Both objects have the same speed after falling 1.0 m.,,A,A,parse_ok,cosine_similarity=0.5039,,False,score_incorrect,success,,,,,0.0125313090002237,2026-07-22T18:26:52.746133+00:00,,A,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__arc_challenge__twostage_semantic_match_traced_v1,a81ac5013f717b61,arc_challenge,robustness,arc_challenge,gpt-4.1-mini,openai,4,1,4,"{""A"": ""They have each lost kinetic energy."", ""B"": ""They have each gained the same amount of potential energy."", ""C"": ""They have each lost the same amount of potential energy."", ""D"": ""They have each gained one-half of their maximum kinetic energy.""}","{""A"": ""They have each gained the same amount of potential energy."", ""B"": ""They have each lost the same amount of potential energy."", ""C"": ""They have each gained one-half of their maximum kinetic energy."", ""D"": ""They have each lost kinetic energy.""}","{""A"": ""B"", ""B"": ""C"", ""C"": ""D"", ""D"": ""A""}",D,"[local_semantic_match] free_text='Both objects have the same speed after falling 1.0 m.' vs options={'A': 'They have each gained the same amount of potential energy.', 'B': 'They have each lost the same amount of potential energy.', 'C': 'They have each gained one-half of their maximum kinetic energy.', 'D': 'They have each lost kinetic energy.'}",,,,,semantic_match_v1,Both objects have the same speed after falling 1.0 m.,,D,A,parse_ok,cosine_similarity=0.5039,,False,score_incorrect,success,,,,,0.012789391999831423,2026-07-22T18:26:52.746237+00:00,,A,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__arc_challenge__twostage_semantic_match_traced_v1,a81ac5013f717b61,arc_challenge,robustness,arc_challenge,gpt-4.1-mini,openai,4,2,4,"{""A"": ""They have each lost kinetic energy."", ""B"": ""They have each gained the same amount of potential energy."", ""C"": ""They have each lost the same amount of potential energy."", ""D"": ""They have each gained one-half of their maximum kinetic energy.""}","{""A"": ""They have each lost the same amount of potential energy."", ""B"": ""They have each gained one-half of their maximum kinetic energy."", ""C"": ""They have each lost kinetic energy."", ""D"": ""They have each gained the same amount of potential energy.""}","{""A"": ""C"", ""B"": ""D"", ""C"": ""A"", ""D"": ""B""}",D,"[local_semantic_match] free_text='Both objects have the same speed after falling 1.0 m.' vs options={'A': 'They have each lost the same amount of potential energy.', 'B': 'They have each gained one-half of their maximum kinetic energy.', 'C': 'They have each lost kinetic energy.', 'D': 'They have each gained the same amount of potential energy.'}",,,,,semantic_match_v1,Both objects have the same speed after falling 1.0 m.,,C,A,parse_ok,cosine_similarity=0.5039,,False,score_incorrect,success,,,,,0.011447765999946569,2026-07-22T18:26:52.746279+00:00,,A,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__arc_challenge__twostage_semantic_match_traced_v1,a81ac5013f717b61,arc_challenge,robustness,arc_challenge,gpt-4.1-mini,openai,4,3,4,"{""A"": ""They have each lost kinetic energy."", ""B"": ""They have each gained the same amount of potential energy."", ""C"": ""They have each lost the same amount of potential energy."", ""D"": ""They have each gained one-half of their maximum kinetic energy.""}","{""A"": ""They have each gained one-half of their maximum kinetic energy."", ""B"": ""They have each lost kinetic energy."", ""C"": ""They have each gained the same amount of potential energy."", ""D"": ""They have each lost the same amount of potential energy.""}","{""A"": ""D"", ""B"": ""A"", ""C"": ""B"", ""D"": ""C""}",D,"[local_semantic_match] free_text='Both objects have the same speed after falling 1.0 m.' vs options={'A': 'They have each gained one-half of their maximum kinetic energy.', 'B': 'They have each lost kinetic energy.', 'C': 'They have each gained the same amount of potential energy.', 'D': 'They have each lost the same amount of potential energy.'}",,,,,semantic_match_v1,Both objects have the same speed after falling 1.0 m.,,B,A,parse_ok,cosine_similarity=0.5039,,False,score_incorrect,success,,,,,0.010975068999869109,2026-07-22T18:26:52.746346+00:00,,A,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__arc_challenge__twostage_semantic_match_traced_v1,6b4ca904770412f7,arc_challenge,robustness,arc_challenge,gpt-4.1-mini,openai,4,0,4,"{""A"": ""a non-infectious, cell-cycle disease"", ""B"": ""an infectious, cell-cycle disease"", ""C"": ""a non-infectious, chronic disease"", ""D"": ""an infectious, chronic disease""}","{""A"": ""a non-infectious, cell-cycle disease"", ""B"": ""an infectious, cell-cycle disease"", ""C"": ""a non-infectious, chronic disease"", ""D"": ""an infectious, chronic disease""}","{""A"": ""A"", ""B"": ""B"", ""C"": ""C"", ""D"": ""D""}",B,"[local_semantic_match] free_text='DFTD is a contagious cancer transmitted through biting among Tasmanian devils.' vs options={'A': 'a non-infectious, cell-cycle disease', 'B': 'an infectious, cell-cycle disease', 'C': 'a non-infectious, chronic disease', 'D': 'an infectious, chronic disease'}",,,,,semantic_match_v1,DFTD is a contagious cancer transmitted through biting among Tasmanian devils.,,D,D,parse_ok,cosine_similarity=0.3405,,False,score_incorrect,success,,,,,0.013605473999632522,2026-07-22T18:26:52.800228+00:00,,D,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__arc_challenge__twostage_semantic_match_traced_v1,6b4ca904770412f7,arc_challenge,robustness,arc_challenge,gpt-4.1-mini,openai,4,1,4,"{""A"": ""a non-infectious, cell-cycle disease"", ""B"": ""an infectious, cell-cycle disease"", ""C"": ""a non-infectious, chronic disease"", ""D"": ""an infectious, chronic disease""}","{""A"": ""an infectious, cell-cycle disease"", ""B"": ""a non-infectious, chronic disease"", ""C"": ""an infectious, chronic disease"", ""D"": ""a non-infectious, cell-cycle disease""}","{""A"": ""B"", ""B"": ""C"", ""C"": ""D"", ""D"": ""A""}",B,"[local_semantic_match] free_text='DFTD is a contagious cancer transmitted through biting among Tasmanian devils.' vs options={'A': 'an infectious, cell-cycle disease', 'B': 'a non-infectious, chronic disease', 'C': 'an infectious, chronic disease', 'D': 'a non-infectious, cell-cycle disease'}",,,,,semantic_match_v1,DFTD is a contagious cancer transmitted through biting among Tasmanian devils.,,C,D,parse_ok,cosine_similarity=0.3405,,False,score_incorrect,success,,,,,0.012765227999807394,2026-07-22T18:26:52.800342+00:00,,D,False,False,False,False
