schema_version,run_id,cell_id,question_id,benchmark,split_name,subject,model_name,provider,n_options,permutation_index,n_permutations,canonical_options_json,displayed_options_json,displayed_to_semantic_json,correct_option,prompt,prompt_sha256,temperature,max_tokens,seed,prompt_version,raw_text,finish_reason,displayed_parsed_choice,semantic_parsed_choice,parse_status,parse_reason,normalized_text,is_correct,score_status,transport_status,error_type,error_message,error_stage,error_retryable,latency_seconds,timestamp_utc,cache_hit,majority_semantic_choice,majority_is_tie,majority_tie_break_used,majority_is_correct,is_diagnostic_canary
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,900de174669b32fe,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,0,4,"{""A"": ""symmetric only"", ""B"": ""anti-symmetric only"", ""C"": ""both symmetric and anti-symmetric"", ""D"": ""an equivalence relation""}","{""A"": ""symmetric only"", ""B"": ""anti-symmetric only"", ""C"": ""both symmetric and anti-symmetric"", ""D"": ""an equivalence relation""}","{""A"": ""A"", ""B"": ""B"", ""C"": ""C"", ""D"": ""D""}",C,"[local_semantic_match] free_text='S is a partial identity relation on A.' vs options={'A': 'symmetric only', 'B': 'anti-symmetric only', 'C': 'both symmetric and anti-symmetric', 'D': 'an equivalence relation'}",,,,,semantic_match_v1,S is a partial identity relation on A.,,D,D,parse_ok,cosine_similarity=0.4725,,False,score_incorrect,success,,,,,0.011324726000566443,2026-07-22T18:27:36.090374+00:00,,D,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,900de174669b32fe,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,1,4,"{""A"": ""symmetric only"", ""B"": ""anti-symmetric only"", ""C"": ""both symmetric and anti-symmetric"", ""D"": ""an equivalence relation""}","{""A"": ""anti-symmetric only"", ""B"": ""both symmetric and anti-symmetric"", ""C"": ""an equivalence relation"", ""D"": ""symmetric only""}","{""A"": ""B"", ""B"": ""C"", ""C"": ""D"", ""D"": ""A""}",C,"[local_semantic_match] free_text='S is a partial identity relation on A.' vs options={'A': 'anti-symmetric only', 'B': 'both symmetric and anti-symmetric', 'C': 'an equivalence relation', 'D': 'symmetric only'}",,,,,semantic_match_v1,S is a partial identity relation on A.,,C,D,parse_ok,cosine_similarity=0.4725,,False,score_incorrect,success,,,,,0.011114199999610719,2026-07-22T18:27:36.090522+00:00,,D,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,900de174669b32fe,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,2,4,"{""A"": ""symmetric only"", ""B"": ""anti-symmetric only"", ""C"": ""both symmetric and anti-symmetric"", ""D"": ""an equivalence relation""}","{""A"": ""both symmetric and anti-symmetric"", ""B"": ""an equivalence relation"", ""C"": ""symmetric only"", ""D"": ""anti-symmetric only""}","{""A"": ""C"", ""B"": ""D"", ""C"": ""A"", ""D"": ""B""}",C,"[local_semantic_match] free_text='S is a partial identity relation on A.' vs options={'A': 'both symmetric and anti-symmetric', 'B': 'an equivalence relation', 'C': 'symmetric only', 'D': 'anti-symmetric only'}",,,,,semantic_match_v1,S is a partial identity relation on A.,,B,D,parse_ok,cosine_similarity=0.4725,,False,score_incorrect,success,,,,,0.010702728999604005,2026-07-22T18:27:36.090585+00:00,,D,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,900de174669b32fe,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,3,4,"{""A"": ""symmetric only"", ""B"": ""anti-symmetric only"", ""C"": ""both symmetric and anti-symmetric"", ""D"": ""an equivalence relation""}","{""A"": ""an equivalence relation"", ""B"": ""symmetric only"", ""C"": ""anti-symmetric only"", ""D"": ""both symmetric and anti-symmetric""}","{""A"": ""D"", ""B"": ""A"", ""C"": ""B"", ""D"": ""C""}",C,"[local_semantic_match] free_text='S is a partial identity relation on A.' vs options={'A': 'an equivalence relation', 'B': 'symmetric only', 'C': 'anti-symmetric only', 'D': 'both symmetric and anti-symmetric'}",,,,,semantic_match_v1,S is a partial identity relation on A.,,A,D,parse_ok,cosine_similarity=0.4725,,False,score_incorrect,success,,,,,0.010501521000151115,2026-07-22T18:27:36.090650+00:00,,D,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,f64d891a72add1d8,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,0,4,"{""A"": ""multiplication is not a binary operation"", ""B"": ""multiplication is not associative"", ""C"": ""identity element does not exist"", ""D"": ""zero has no inverse""}","{""A"": ""multiplication is not a binary operation"", ""B"": ""multiplication is not associative"", ""C"": ""identity element does not exist"", ""D"": ""zero has no inverse""}","{""A"": ""A"", ""B"": ""B"", ""C"": ""C"", ""D"": ""D""}",D,"[local_semantic_match] free_text='The set of all real numbers under multiplication is not a group because zero does not have a multiplicative inverse.' vs options={'A': 'multiplication is not a binary operation', 'B': 'multiplication is not associative', 'C': 'identity element does not exist', 'D': 'zero has no inverse'}",,,,,semantic_match_v1,The set of all real numbers under multiplication is not a group because zero does not have a multiplicative inverse.,,D,D,parse_ok,cosine_similarity=0.5388,,True,score_correct,success,,,,,0.014548022999406385,2026-07-22T18:27:36.149441+00:00,,D,False,False,True,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,f64d891a72add1d8,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,1,4,"{""A"": ""multiplication is not a binary operation"", ""B"": ""multiplication is not associative"", ""C"": ""identity element does not exist"", ""D"": ""zero has no inverse""}","{""A"": ""multiplication is not associative"", ""B"": ""identity element does not exist"", ""C"": ""zero has no inverse"", ""D"": ""multiplication is not a binary operation""}","{""A"": ""B"", ""B"": ""C"", ""C"": ""D"", ""D"": ""A""}",D,"[local_semantic_match] free_text='The set of all real numbers under multiplication is not a group because zero does not have a multiplicative inverse.' vs options={'A': 'multiplication is not associative', 'B': 'identity element does not exist', 'C': 'zero has no inverse', 'D': 'multiplication is not a binary operation'}",,,,,semantic_match_v1,The set of all real numbers under multiplication is not a group because zero does not have a multiplicative inverse.,,C,D,parse_ok,cosine_similarity=0.5388,,True,score_correct,success,,,,,0.013598311000350805,2026-07-22T18:27:36.149564+00:00,,D,False,False,True,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,f64d891a72add1d8,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,2,4,"{""A"": ""multiplication is not a binary operation"", ""B"": ""multiplication is not associative"", ""C"": ""identity element does not exist"", ""D"": ""zero has no inverse""}","{""A"": ""identity element does not exist"", ""B"": ""zero has no inverse"", ""C"": ""multiplication is not a binary operation"", ""D"": ""multiplication is not associative""}","{""A"": ""C"", ""B"": ""D"", ""C"": ""A"", ""D"": ""B""}",D,"[local_semantic_match] free_text='The set of all real numbers under multiplication is not a group because zero does not have a multiplicative inverse.' vs options={'A': 'identity element does not exist', 'B': 'zero has no inverse', 'C': 'multiplication is not a binary operation', 'D': 'multiplication is not associative'}",,,,,semantic_match_v1,The set of all real numbers under multiplication is not a group because zero does not have a multiplicative inverse.,,B,D,parse_ok,cosine_similarity=0.5388,,True,score_correct,success,,,,,0.01473887000065588,2026-07-22T18:27:36.149625+00:00,,D,False,False,True,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,f64d891a72add1d8,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,3,4,"{""A"": ""multiplication is not a binary operation"", ""B"": ""multiplication is not associative"", ""C"": ""identity element does not exist"", ""D"": ""zero has no inverse""}","{""A"": ""zero has no inverse"", ""B"": ""multiplication is not a binary operation"", ""C"": ""multiplication is not associative"", ""D"": ""identity element does not exist""}","{""A"": ""D"", ""B"": ""A"", ""C"": ""B"", ""D"": ""C""}",D,"[local_semantic_match] free_text='The set of all real numbers under multiplication is not a group because zero does not have a multiplicative inverse.' vs options={'A': 'zero has no inverse', 'B': 'multiplication is not a binary operation', 'C': 'multiplication is not associative', 'D': 'identity element does not exist'}",,,,,semantic_match_v1,The set of all real numbers under multiplication is not a group because zero does not have a multiplicative inverse.,,A,D,parse_ok,cosine_similarity=0.5388,,True,score_correct,success,,,,,0.015551194000181567,2026-07-22T18:27:36.149667+00:00,,D,False,False,True,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,028c0d434f03fd92,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,0,4,"{""A"": ""2x^2 + 5"", ""B"": ""6x^2 + 4x + 6"", ""C"": ""0"", ""D"": ""x^2 + 1""}","{""A"": ""2x^2 + 5"", ""B"": ""6x^2 + 4x + 6"", ""C"": ""0"", ""D"": ""x^2 + 1""}","{""A"": ""A"", ""B"": ""B"", ""C"": ""C"", ""D"": ""D""}",A,"[local_semantic_match] free_text='2x^2 + 0x + 7 in \\( \\mathbb{Z}_8[x] \\).' vs options={'A': '2x^2 + 5', 'B': '6x^2 + 4x + 6', 'C': '0', 'D': 'x^2 + 1'}",,,,,semantic_match_v1,2x^2 + 0x + 7 in \( \mathbb{Z}_8[x] \).,,B,B,parse_ok,cosine_similarity=0.4344,,False,score_incorrect,success,,,,,0.018974837000314437,2026-07-22T18:27:36.218328+00:00,,B,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,028c0d434f03fd92,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,1,4,"{""A"": ""2x^2 + 5"", ""B"": ""6x^2 + 4x + 6"", ""C"": ""0"", ""D"": ""x^2 + 1""}","{""A"": ""6x^2 + 4x + 6"", ""B"": ""0"", ""C"": ""x^2 + 1"", ""D"": ""2x^2 + 5""}","{""A"": ""B"", ""B"": ""C"", ""C"": ""D"", ""D"": ""A""}",A,"[local_semantic_match] free_text='2x^2 + 0x + 7 in \\( \\mathbb{Z}_8[x] \\).' vs options={'A': '6x^2 + 4x + 6', 'B': '0', 'C': 'x^2 + 1', 'D': '2x^2 + 5'}",,,,,semantic_match_v1,2x^2 + 0x + 7 in \( \mathbb{Z}_8[x] \).,,A,B,parse_ok,cosine_similarity=0.4344,,False,score_incorrect,success,,,,,0.01629153399971983,2026-07-22T18:27:36.218463+00:00,,B,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,028c0d434f03fd92,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,2,4,"{""A"": ""2x^2 + 5"", ""B"": ""6x^2 + 4x + 6"", ""C"": ""0"", ""D"": ""x^2 + 1""}","{""A"": ""0"", ""B"": ""x^2 + 1"", ""C"": ""2x^2 + 5"", ""D"": ""6x^2 + 4x + 6""}","{""A"": ""C"", ""B"": ""D"", ""C"": ""A"", ""D"": ""B""}",A,"[local_semantic_match] free_text='2x^2 + 0x + 7 in \\( \\mathbb{Z}_8[x] \\).' vs options={'A': '0', 'B': 'x^2 + 1', 'C': '2x^2 + 5', 'D': '6x^2 + 4x + 6'}",,,,,semantic_match_v1,2x^2 + 0x + 7 in \( \mathbb{Z}_8[x] \).,,D,B,parse_ok,cosine_similarity=0.4344,,False,score_incorrect,success,,,,,0.015606466999997792,2026-07-22T18:27:36.218535+00:00,,B,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,028c0d434f03fd92,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,3,4,"{""A"": ""2x^2 + 5"", ""B"": ""6x^2 + 4x + 6"", ""C"": ""0"", ""D"": ""x^2 + 1""}","{""A"": ""x^2 + 1"", ""B"": ""2x^2 + 5"", ""C"": ""6x^2 + 4x + 6"", ""D"": ""0""}","{""A"": ""D"", ""B"": ""A"", ""C"": ""B"", ""D"": ""C""}",A,"[local_semantic_match] free_text='2x^2 + 0x + 7 in \\( \\mathbb{Z}_8[x] \\).' vs options={'A': 'x^2 + 1', 'B': '2x^2 + 5', 'C': '6x^2 + 4x + 6', 'D': '0'}",,,,,semantic_match_v1,2x^2 + 0x + 7 in \( \mathbb{Z}_8[x] \).,,C,B,parse_ok,cosine_similarity=0.4344,,False,score_incorrect,success,,,,,0.017470013999627554,2026-07-22T18:27:36.218586+00:00,,B,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__gpt-4-1-mini__mmlu__twostage_semantic_match_traced_v1,59398b29941aff88,mmlu,robustness,abstract_algebra,gpt-4.1-mini,openai,4,0,4,"{""A"": ""True, True"", ""B"": ""False, False"", ""C"": ""True, False"", ""D"": ""False, True""}","{""A"": ""True, True"", ""B"": ""False, False"", ""C"": ""True, False"", ""D"": ""False, True""}","{""A"": ""A"", ""B"": ""B"", ""C"": ""C"", ""D"": ""D""}",B,"[local_semantic_match] free_text='Both statements are true.' vs options={'A': 'True, True', 'B': 'False, False', 'C': 'True, False', 'D': 'False, True'}",,,,,semantic_match_v1,Both statements are true.,,B,B,parse_ok,cosine_similarity=0.6506,,True,score_correct,success,,,,,0.010649799000020721,2026-07-22T18:27:36.260803+00:00,,B,False,False,True,False
