schema_version,run_id,cell_id,question_id,benchmark,split_name,subject,model_name,provider,n_options,permutation_index,n_permutations,canonical_options_json,displayed_options_json,displayed_to_semantic_json,correct_option,prompt,prompt_sha256,temperature,max_tokens,seed,prompt_version,raw_text,finish_reason,displayed_parsed_choice,semantic_parsed_choice,parse_status,parse_reason,normalized_text,is_correct,score_status,transport_status,error_type,error_message,error_stage,error_retryable,latency_seconds,timestamp_utc,cache_hit,majority_semantic_choice,majority_is_tie,majority_tie_break_used,majority_is_correct,is_diagnostic_canary
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__qwen-qwen2-5-7b-instruct__arc_challenge__twostage_semantic_match_traced_v1,e3335d974df9d047,arc_challenge,robustness,arc_challenge,Qwen/Qwen2.5-7B-Instruct,huggingface,4,0,4,"{""A"": ""the control"", ""B"": ""the hypothesis statement"", ""C"": ""the dependent (responding) variable"", ""D"": ""the independent (manipulated) variable""}","{""A"": ""the control"", ""B"": ""the hypothesis statement"", ""C"": ""the dependent (responding) variable"", ""D"": ""the independent (manipulated) variable""}","{""A"": ""A"", ""B"": ""B"", ""C"": ""C"", ""D"": ""D""}",D,"[local_semantic_match] free_text=' Speed as an independent variable in the experiment.' vs options={'A': 'the control', 'B': 'the hypothesis statement', 'C': 'the dependent (responding) variable', 'D': 'the independent (manipulated) variable'}",,,,,semantic_match_v1, Speed as an independent variable in the experiment.,,D,D,parse_ok,cosine_similarity=0.4688,,True,score_correct,success,,,,,0.008136915000250156,2026-07-22T18:28:22.477670+00:00,,D,False,False,True,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__qwen-qwen2-5-7b-instruct__arc_challenge__twostage_semantic_match_traced_v1,e3335d974df9d047,arc_challenge,robustness,arc_challenge,Qwen/Qwen2.5-7B-Instruct,huggingface,4,1,4,"{""A"": ""the control"", ""B"": ""the hypothesis statement"", ""C"": ""the dependent (responding) variable"", ""D"": ""the independent (manipulated) variable""}","{""A"": ""the hypothesis statement"", ""B"": ""the dependent (responding) variable"", ""C"": ""the independent (manipulated) variable"", ""D"": ""the control""}","{""A"": ""B"", ""B"": ""C"", ""C"": ""D"", ""D"": ""A""}",D,"[local_semantic_match] free_text=' Speed as an independent variable in the experiment.' vs options={'A': 'the hypothesis statement', 'B': 'the dependent (responding) variable', 'C': 'the independent (manipulated) variable', 'D': 'the control'}",,,,,semantic_match_v1, Speed as an independent variable in the experiment.,,C,D,parse_ok,cosine_similarity=0.4688,,True,score_correct,success,,,,,0.00820151599964447,2026-07-22T18:28:22.477763+00:00,,D,False,False,True,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__qwen-qwen2-5-7b-instruct__arc_challenge__twostage_semantic_match_traced_v1,e3335d974df9d047,arc_challenge,robustness,arc_challenge,Qwen/Qwen2.5-7B-Instruct,huggingface,4,2,4,"{""A"": ""the control"", ""B"": ""the hypothesis statement"", ""C"": ""the dependent (responding) variable"", ""D"": ""the independent (manipulated) variable""}","{""A"": ""the dependent (responding) variable"", ""B"": ""the independent (manipulated) variable"", ""C"": ""the control"", ""D"": ""the hypothesis statement""}","{""A"": ""C"", ""B"": ""D"", ""C"": ""A"", ""D"": ""B""}",D,"[local_semantic_match] free_text=' Speed as an independent variable in the experiment.' vs options={'A': 'the dependent (responding) variable', 'B': 'the independent (manipulated) variable', 'C': 'the control', 'D': 'the hypothesis statement'}",,,,,semantic_match_v1, Speed as an independent variable in the experiment.,,B,D,parse_ok,cosine_similarity=0.4688,,True,score_correct,success,,,,,0.007790505000230041,2026-07-22T18:28:22.477800+00:00,,D,False,False,True,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__qwen-qwen2-5-7b-instruct__arc_challenge__twostage_semantic_match_traced_v1,e3335d974df9d047,arc_challenge,robustness,arc_challenge,Qwen/Qwen2.5-7B-Instruct,huggingface,4,3,4,"{""A"": ""the control"", ""B"": ""the hypothesis statement"", ""C"": ""the dependent (responding) variable"", ""D"": ""the independent (manipulated) variable""}","{""A"": ""the independent (manipulated) variable"", ""B"": ""the control"", ""C"": ""the hypothesis statement"", ""D"": ""the dependent (responding) variable""}","{""A"": ""D"", ""B"": ""A"", ""C"": ""B"", ""D"": ""C""}",D,"[local_semantic_match] free_text=' Speed as an independent variable in the experiment.' vs options={'A': 'the independent (manipulated) variable', 'B': 'the control', 'C': 'the hypothesis statement', 'D': 'the dependent (responding) variable'}",,,,,semantic_match_v1, Speed as an independent variable in the experiment.,,A,D,parse_ok,cosine_similarity=0.4688,,True,score_correct,success,,,,,0.007669688999158097,2026-07-22T18:28:22.477830+00:00,,D,False,False,True,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__qwen-qwen2-5-7b-instruct__arc_challenge__twostage_semantic_match_traced_v1,a81ac5013f717b61,arc_challenge,robustness,arc_challenge,Qwen/Qwen2.5-7B-Instruct,huggingface,4,0,4,"{""A"": ""They have each lost kinetic energy."", ""B"": ""They have each gained the same amount of potential energy."", ""C"": ""They have each lost the same amount of potential energy."", ""D"": ""They have each gained one-half of their maximum kinetic energy.""}","{""A"": ""They have each lost kinetic energy."", ""B"": ""They have each gained the same amount of potential energy."", ""C"": ""They have each lost the same amount of potential energy."", ""D"": ""They have each gained one-half of their maximum kinetic energy.""}","{""A"": ""A"", ""B"": ""B"", ""C"": ""C"", ""D"": ""D""}",D,"[local_semantic_match] free_text=' The 1.0 kg object and the 5.0 kg object will have the same velocity after falling 1.0 m.' vs options={'A': 'They have each lost kinetic energy.', 'B': 'They have each gained the same amount of potential energy.', 'C': 'They have each lost the same amount of potential energy.', 'D': 'They have each gained one-half of their maximum kinetic energy.'}",,,,,semantic_match_v1, The 1.0 kg object and the 5.0 kg object will have the same velocity after falling 1.0 m.,,A,A,parse_ok,cosine_similarity=0.4000,,False,score_incorrect,success,,,,,0.010704541000450263,2026-07-22T18:28:22.520223+00:00,,A,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__qwen-qwen2-5-7b-instruct__arc_challenge__twostage_semantic_match_traced_v1,a81ac5013f717b61,arc_challenge,robustness,arc_challenge,Qwen/Qwen2.5-7B-Instruct,huggingface,4,1,4,"{""A"": ""They have each lost kinetic energy."", ""B"": ""They have each gained the same amount of potential energy."", ""C"": ""They have each lost the same amount of potential energy."", ""D"": ""They have each gained one-half of their maximum kinetic energy.""}","{""A"": ""They have each gained the same amount of potential energy."", ""B"": ""They have each lost the same amount of potential energy."", ""C"": ""They have each gained one-half of their maximum kinetic energy."", ""D"": ""They have each lost kinetic energy.""}","{""A"": ""B"", ""B"": ""C"", ""C"": ""D"", ""D"": ""A""}",D,"[local_semantic_match] free_text=' The 1.0 kg object and the 5.0 kg object will have the same velocity after falling 1.0 m.' vs options={'A': 'They have each gained the same amount of potential energy.', 'B': 'They have each lost the same amount of potential energy.', 'C': 'They have each gained one-half of their maximum kinetic energy.', 'D': 'They have each lost kinetic energy.'}",,,,,semantic_match_v1, The 1.0 kg object and the 5.0 kg object will have the same velocity after falling 1.0 m.,,D,A,parse_ok,cosine_similarity=0.4000,,False,score_incorrect,success,,,,,0.010501341000235698,2026-07-22T18:28:22.520315+00:00,,A,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__qwen-qwen2-5-7b-instruct__arc_challenge__twostage_semantic_match_traced_v1,a81ac5013f717b61,arc_challenge,robustness,arc_challenge,Qwen/Qwen2.5-7B-Instruct,huggingface,4,2,4,"{""A"": ""They have each lost kinetic energy."", ""B"": ""They have each gained the same amount of potential energy."", ""C"": ""They have each lost the same amount of potential energy."", ""D"": ""They have each gained one-half of their maximum kinetic energy.""}","{""A"": ""They have each lost the same amount of potential energy."", ""B"": ""They have each gained one-half of their maximum kinetic energy."", ""C"": ""They have each lost kinetic energy."", ""D"": ""They have each gained the same amount of potential energy.""}","{""A"": ""C"", ""B"": ""D"", ""C"": ""A"", ""D"": ""B""}",D,"[local_semantic_match] free_text=' The 1.0 kg object and the 5.0 kg object will have the same velocity after falling 1.0 m.' vs options={'A': 'They have each lost the same amount of potential energy.', 'B': 'They have each gained one-half of their maximum kinetic energy.', 'C': 'They have each lost kinetic energy.', 'D': 'They have each gained the same amount of potential energy.'}",,,,,semantic_match_v1, The 1.0 kg object and the 5.0 kg object will have the same velocity after falling 1.0 m.,,C,A,parse_ok,cosine_similarity=0.4000,,False,score_incorrect,success,,,,,0.010415339000246604,2026-07-22T18:28:22.520352+00:00,,A,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__qwen-qwen2-5-7b-instruct__arc_challenge__twostage_semantic_match_traced_v1,a81ac5013f717b61,arc_challenge,robustness,arc_challenge,Qwen/Qwen2.5-7B-Instruct,huggingface,4,3,4,"{""A"": ""They have each lost kinetic energy."", ""B"": ""They have each gained the same amount of potential energy."", ""C"": ""They have each lost the same amount of potential energy."", ""D"": ""They have each gained one-half of their maximum kinetic energy.""}","{""A"": ""They have each gained one-half of their maximum kinetic energy."", ""B"": ""They have each lost kinetic energy."", ""C"": ""They have each gained the same amount of potential energy."", ""D"": ""They have each lost the same amount of potential energy.""}","{""A"": ""D"", ""B"": ""A"", ""C"": ""B"", ""D"": ""C""}",D,"[local_semantic_match] free_text=' The 1.0 kg object and the 5.0 kg object will have the same velocity after falling 1.0 m.' vs options={'A': 'They have each gained one-half of their maximum kinetic energy.', 'B': 'They have each lost kinetic energy.', 'C': 'They have each gained the same amount of potential energy.', 'D': 'They have each lost the same amount of potential energy.'}",,,,,semantic_match_v1, The 1.0 kg object and the 5.0 kg object will have the same velocity after falling 1.0 m.,,B,A,parse_ok,cosine_similarity=0.4000,,False,score_incorrect,success,,,,,0.010529503999350709,2026-07-22T18:28:22.520384+00:00,,A,False,False,False,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__qwen-qwen2-5-7b-instruct__arc_challenge__twostage_semantic_match_traced_v1,6b4ca904770412f7,arc_challenge,robustness,arc_challenge,Qwen/Qwen2.5-7B-Instruct,huggingface,4,0,4,"{""A"": ""a non-infectious, cell-cycle disease"", ""B"": ""an infectious, cell-cycle disease"", ""C"": ""a non-infectious, chronic disease"", ""D"": ""an infectious, chronic disease""}","{""A"": ""a non-infectious, cell-cycle disease"", ""B"": ""an infectious, cell-cycle disease"", ""C"": ""a non-infectious, chronic disease"", ""D"": ""an infectious, chronic disease""}","{""A"": ""A"", ""B"": ""B"", ""C"": ""C"", ""D"": ""D""}",B,"[local_semantic_match] free_text=' Parasite-transmitted cancer.' vs options={'A': 'a non-infectious, cell-cycle disease', 'B': 'an infectious, cell-cycle disease', 'C': 'a non-infectious, chronic disease', 'D': 'an infectious, chronic disease'}",,,,,semantic_match_v1, Parasite-transmitted cancer.,,B,B,parse_ok,cosine_similarity=0.4878,,True,score_correct,success,,,,,0.008182601000044087,2026-07-22T18:28:22.555163+00:00,,B,False,False,True,False
flip_rate_traces.trace.v1,task1a_twostage_semantic_match_v1,cbp__qwen-qwen2-5-7b-instruct__arc_challenge__twostage_semantic_match_traced_v1,6b4ca904770412f7,arc_challenge,robustness,arc_challenge,Qwen/Qwen2.5-7B-Instruct,huggingface,4,1,4,"{""A"": ""a non-infectious, cell-cycle disease"", ""B"": ""an infectious, cell-cycle disease"", ""C"": ""a non-infectious, chronic disease"", ""D"": ""an infectious, chronic disease""}","{""A"": ""an infectious, cell-cycle disease"", ""B"": ""a non-infectious, chronic disease"", ""C"": ""an infectious, chronic disease"", ""D"": ""a non-infectious, cell-cycle disease""}","{""A"": ""B"", ""B"": ""C"", ""C"": ""D"", ""D"": ""A""}",B,"[local_semantic_match] free_text=' Parasite-transmitted cancer.' vs options={'A': 'an infectious, cell-cycle disease', 'B': 'a non-infectious, chronic disease', 'C': 'an infectious, chronic disease', 'D': 'a non-infectious, cell-cycle disease'}",,,,,semantic_match_v1, Parasite-transmitted cancer.,,A,B,parse_ok,cosine_similarity=0.4878,,True,score_correct,success,,,,,0.007864834999963932,2026-07-22T18:28:22.555274+00:00,,B,False,False,True,False
