run_id,question_id,split_name,subject,method_name,prompt_version,perturbation_name,sample_index,provider,model_name,temperature,max_tokens,seed,question_text,choice_a,choice_b,choice_c,choice_d,correct_option,prompt,model_status,raw_text,finish_reason,latency_seconds,timestamp_utc,error_type,error_message,error_stage,error_retryable,parsed_choice,parse_status,normalized_text,parse_reason,is_correct,score_status,free_text_prompt,free_text_response,free_text_latency,fallback_used,benchmark,free_text_stage1_disposition
20260603_105547,e3335d974df9d047,robustness,arc_challenge,two_prompt,v2,,0.0,gemini,gemini-2.5-flash,0.0,500.0,42.0,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?",the control,the hypothesis statement,the dependent (responding) variable,the independent (manipulated) variable,D,"You are given a question, a reference answer, and four options.

Question: A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?

Reference answer: The effect of speed.

Options:
A. the control
B. the hypothesis statement
C. the dependent (responding) variable
D. the independent (manipulated) variable

Select the option that best matches the reference answer in the context of the question.
If the reference answer is imperfect or incomplete, choose the closest option.
Respond with only the letter.",success,D,STOP,0.0,,,,,,D,parse_ok,D,Answer successfully parsed,True,score_correct,"Answer the following question based on your knowledge.

Question: A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?

Respond with a concise answer phrase. Include enough detail to distinguish the answer from similar alternatives. Do not explain your reasoning.",The effect of speed.,3.426188117,False,arc_challenge,
20260603_105547,a81ac5013f717b61,robustness,arc_challenge,two_prompt,v2,,1.0,gemini,gemini-2.5-flash,0.0,500.0,42.0,An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?,They have each lost kinetic energy.,They have each gained the same amount of potential energy.,They have each lost the same amount of potential energy.,They have each gained one-half of their maximum kinetic energy.,D,"You are given a question, a reference answer, and four options.

Question: An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?

Reference answer: Both objects have the same speed and have taken the same amount of time to fall.

Options:
A. They have each lost kinetic energy.
B. They have each gained the same amount of potential energy.
C. They have each lost the same amount of potential energy.
D. They have each gained one-half of their maximum kinetic energy.

Select the option that best matches the reference answer in the context of the question.
If the reference answer is imperfect or incomplete, choose the closest option.
Respond with only the letter.",success,"The reference answer states: ""Both objects have the same speed and have taken the same amount of",MAX_TOKENS,128.456959889,,,,,,,parse_missing,"The reference answer states: ""Both objects have the same speed and have taken the same amount of",Text present but no option text match found,,score_unscorable,"Answer the following question based on your knowledge.

Question: An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?

Respond with a concise answer phrase. Include enough detail to distinguish the answer from similar alternatives. Do not explain your reasoning.",Both objects have the same speed and have taken the same amount of time to fall.,6.630597589,False,arc_challenge,
20260603_105547,6b4ca904770412f7,robustness,arc_challenge,two_prompt,v2,,2.0,gemini,gemini-2.5-flash,0.0,500.0,42.0,Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?,"a non-infectious, cell-cycle disease","an infectious, cell-cycle disease","a non-infectious, chronic disease","an infectious, chronic disease",B,"You are given a question, a reference answer, and four options.

Question: Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?

Reference answer: Contagious parasitic cancer

Options:
A. a non-infectious, cell-cycle disease
B. an infectious, cell-cycle disease
C. a non-infectious, chronic disease
D. an infectious, chronic disease

Select the option that best matches the reference answer in the context of the question.
If the reference answer is imperfect or incomplete, choose the closest option.
Respond with only the letter.",success,B,STOP,128.416430112,,,,,,B,parse_ok,B,Answer successfully parsed,True,score_correct,"Answer the following question based on your knowledge.

Question: Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?

Respond with a concise answer phrase. Include enough detail to distinguish the answer from similar alternatives. Do not explain your reasoning.",Contagious parasitic cancer,9.559729853,False,arc_challenge,
20260603_105547,4bd587d3c8648563,robustness,arc_challenge,two_prompt,v2,,3.0,gemini,gemini-2.5-flash,0.0,500.0,42.0,"A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?",to repare for migration before winter,to provide warmth during the cold winter months,to store food that will be eaten over the winter months,to protect the grasses and seeds from decay before winter,C,"You are given a question, a reference answer, and four options.

Question: A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?

Reference answer: To store food for the winter.

Options:
A. to repare for migration before winter
B. to provide warmth during the cold winter months
C. to store food that will be eaten over the winter months
D. to protect the grasses and seeds from decay before winter

Select the option that best matches the reference answer in the context of the question.
If the reference answer is imperfect or incomplete, choose the closest option.
Respond with only the letter.",success,C,STOP,0.0,,,,,,C,parse_ok,C,Answer successfully parsed,True,score_correct,"Answer the following question based on your knowledge.

Question: A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?

Respond with a concise answer phrase. Include enough detail to distinguish the answer from similar alternatives. Do not explain your reasoning.",To store food for the winter.,12.94314843,False,arc_challenge,
20260603_105547,ae7f0cfeefe61d0e,robustness,arc_challenge,two_prompt,v2,,4.0,gemini,gemini-2.5-flash,0.0,500.0,42.0,Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?,The chicken population would go down.,Populations of mice and rats would increase.,Another bird of prey would replace the hawk.,The chickens would have a lower rate of disease.,B,"You are given a question, a reference answer, and four options.

Question: Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?

Reference answer: Rodent populations would increase, leading to crop damage.

Options:
A. The chicken population would go down.
B. Populations of mice and rats would increase.
C. Another bird of prey would replace the hawk.
D. The chickens would have a lower rate of disease.

Select the option that best matches the reference answer in the context of the question.
If the reference answer is imperfect or incomplete, choose the closest option.
Respond with only the letter.",success,B,STOP,124.801646304,,,,,,B,parse_ok,B,Answer successfully parsed,True,score_correct,"Answer the following question based on your knowledge.

Question: Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?

Respond with a concise answer phrase. Include enough detail to distinguish the answer from similar alternatives. Do not explain your reasoning.","Rodent populations would increase, leading to crop damage.",16.076625364,False,arc_challenge,
20260603_105547,4c67f20f428bda79,robustness,arc_challenge,two_prompt,v2,,5.0,gemini,gemini-2.5-flash,0.0,500.0,42.0,"According to cell classification, prokaryotic cells are separated from eukaryotic cells. Which feature is often used to distinguish prokaryotic cells from eukaryotic cells?",life processes,size differences,plasma membranes,energy molecules,B,"You are given a question, a reference answer, and four options.

Question: According to cell classification, prokaryotic cells are separated from eukaryotic cells. Which feature is often used to distinguish prokaryotic cells from eukaryotic cells?

Reference answer: Presence of a membrane-bound nucleus.

Options:
A. life processes
B. size differences
C. plasma membranes
D. energy molecules

Select the option that best matches the reference answer in the context of the question.
If the reference answer is imperfect or incomplete, choose the closest option.
Respond with only the letter.",success,"The reference answer states ""Presence of a membrane-bound nucleus."" This is the most fundamental and defining",MAX_TOKENS,124.96959199,,,,,,A,parse_ok,"The reference answer states ""Presence of a membrane-bound nucleus."" This is the most fundamental and defining",Answer successfully parsed from last standalone letter,False,score_incorrect,"Answer the following question based on your knowledge.

Question: According to cell classification, prokaryotic cells are separated from eukaryotic cells. Which feature is often used to distinguish prokaryotic cells from eukaryotic cells?

Respond with a concise answer phrase. Include enough detail to distinguish the answer from similar alternatives. Do not explain your reasoning.",Presence of a membrane-bound nucleus.,19.07879722,False,arc_challenge,
20260603_105547,b8fed5c07c11e65d,robustness,arc_challenge,two_prompt,v2,,6.0,gemini,gemini-2.5-flash,0.0,500.0,42.0,Which statement best describes the effect of the Sun on the oceans?,The Sun influences the formation of waves.,The Sun creates water particles.,The Sun's rays cause organisms to come to the surface.,The Sun provides minerals.,A,"You are given a question, a reference answer, and four options.

Question: Which statement best describes the effect of the Sun on the oceans?

Reference answer: Heats the surface, driving evaporation and ocean currents.

Options:
A. The Sun influences the formation of waves.
B. The Sun creates water particles.
C. The Sun's rays cause organisms to come to the surface.
D. The Sun provides minerals.

Select the option that best matches the reference answer in the context of the question.
If the reference answer is imperfect or incomplete, choose the closest option.
Respond with only the letter.",success,A,STOP,124.78439438,,,,,,A,parse_ok,A,Answer successfully parsed,True,score_correct,"Answer the following question based on your knowledge.

Question: Which statement best describes the effect of the Sun on the oceans?

Respond with a concise answer phrase. Include enough detail to distinguish the answer from similar alternatives. Do not explain your reasoning.","Heats the surface, driving evaporation and ocean currents.",22.271722214,False,arc_challenge,
20260603_105547,17b37c81c99bec39,robustness,arc_challenge,two_prompt,v2,,7.0,gemini,gemini-2.5-flash,0.0,500.0,42.0,"The morning temperature in a city is 41°F. If a sunny, mild day is forecast, which temperature is most likely for 2:00 p.m.?",32° F,41° F,78° F,98° F,C,"You are given a question, a reference answer, and four options.

Question: The morning temperature in a city is 41°F. If a sunny, mild day is forecast, which temperature is most likely for 2:00 p.m.?

Reference answer: Around 65°F.

Options:
A. 32° F
B. 41° F
C. 78° F
D. 98° F

Select the option that best matches the reference answer in the context of the question.
If the reference answer is imperfect or incomplete, choose the closest option.
Respond with only the letter.",success,C,STOP,125.017547247,,,,,,C,parse_ok,C,Answer successfully parsed,True,score_correct,"Answer the following question based on your knowledge.

Question: The morning temperature in a city is 41°F. If a sunny, mild day is forecast, which temperature is most likely for 2:00 p.m.?

Respond with a concise answer phrase. Include enough detail to distinguish the answer from similar alternatives. Do not explain your reasoning.",Around 65°F.,25.334171392,False,arc_challenge,
20260603_105547,77b521976782776c,robustness,arc_challenge,two_prompt,v2,,8.0,gemini,gemini-2.5-flash,0.0,500.0,42.0,A class plans an investigation to see which brand of light bulb lasts the longest. Which of these steps should come first?,Repeat the investigation.,Write a report of the results.,Make a table for recording data.,Make daily observations of the light bulbs.,C,"You are given a question, a reference answer, and four options.

Question: A class plans an investigation to see which brand of light bulb lasts the longest. Which of these steps should come first?

Reference answer: Formulate a hypothesis.

Options:
A. Repeat the investigation.
B. Write a report of the results.
C. Make a table for recording data.
D. Make daily observations of the light bulbs.

Select the option that best matches the reference answer in the context of the question.
If the reference answer is imperfect or incomplete, choose the closest option.
Respond with only the letter.",success,"The question asks for the first step in a scientific investigation. The reference answer is ""Form",MAX_TOKENS,0.0,,,,,,A,parse_ok,"The question asks for the first step in a scientific investigation. The reference answer is ""Form",Answer successfully parsed from last standalone letter,False,score_incorrect,"Answer the following question based on your knowledge.

Question: A class plans an investigation to see which brand of light bulb lasts the longest. Which of these steps should come first?

Respond with a concise answer phrase. Include enough detail to distinguish the answer from similar alternatives. Do not explain your reasoning.",Formulate a hypothesis.,28.179883983,False,arc_challenge,
20260603_105547,bc481791821bb705,robustness,arc_challenge,two_prompt,v2,,9.0,gemini,gemini-2.5-flash,0.0,500.0,42.0,Which of these gases is the most abundant greenhouse gas in the lower atmosphere of Earth?,ozone,methane,water vapor,carbon dioxide,C,"You are given a question, a reference answer, and four options.

Question: Which of these gases is the most abundant greenhouse gas in the lower atmosphere of Earth?

Reference answer: Water vapor (H₂O)

Options:
A. ozone
B. methane
C. water vapor
D. carbon dioxide

Select the option that best matches the reference answer in the context of the question.
If the reference answer is imperfect or incomplete, choose the closest option.
Respond with only the letter.",success,C,STOP,122.023163489,,,,,,C,parse_ok,C,Answer successfully parsed,True,score_correct,"Answer the following question based on your knowledge.

Question: Which of these gases is the most abundant greenhouse gas in the lower atmosphere of Earth?

Respond with a concise answer phrase. Include enough detail to distinguish the answer from similar alternatives. Do not explain your reasoning.",Water vapor (H₂O),29.212711743,False,arc_challenge,
